arming;age;race;state
dangerous;18;B;CA
dangerous;55;W;WV
dangerous;36;W;OH
dangerous;32;W;NC
harmless;53;W;AZ
dangerous;30;B;CA
harmless;27;B;WA
dangerous;37;H;CA
unarmed;29;W;NC
harmful;40;W;CA
neutral;36;W;KS
dangerous;38;W;CA
dangerous;29;W;NM
dangerous;59;W;CA
dangerous;47;H;CA
dangerous;22;H;AZ
harmless;31;W;WI
neutral;29;W;NV
harmful;54;W;TN
harmful;71;H;CA
harmful;36;H;NM
harmful;34;B;OH
dangerous;49;W;TX
dangerous;36;H;TX
dangerous;43;W;FL
dangerous;53;W;TN
dangerous;31;B;CA
neutral;32;H;CA
dangerous;41;W;NV
harmless;26;H;AZ
dangerous;82;W;WV
dangerous;37;W;MN
dangerous;24;B;NC
harmful;56;W;CA
dangerous;35;W;AZ
unarmed;22;B;FL
dangerous;59;W;TX
harmful;36;W;TX
dangerous;21;W;CO
neutral;38;W;MO
neutral;60;W;OH
dangerous;18;W;KS
dangerous;23;H;CA
dangerous;38;H;NM
harmful;22;W;IL
dangerous;38;B;MO
neutral;25;B;NJ
neutral;25;W;WA
dangerous;36;W;IL
harmful;44;H;CO
dangerous;36;B;TX
dangerous;35;H;TX
neutral;25;W;NE
neutral;31;H;AZ
dangerous;70;W;TN
harmful;25;W;AZ
harmful;55;B;GA
neutral;35;W;FL
dangerous;25;B;MI
dangerous;32;W;FL
harmless;38;H;CA
dangerous;32;H;TN
harmless;64;W;WA
harmful;55;B;FL
harmless;69;W;WV
dangerous;37;W;CO
neutral;31;B;DC
harmful;25;B;IA
neutral;25;H;CA
harmless;13;B;OH
dangerous;32;H;AZ
dangerous;34;W;TX
dangerous;69;W;FL
unarmed;40;B;OK
unarmed;29;N;VT
harmful;29;W;KY
harmful;42;W;CA
dangerous;25;B;PA
harmless;45;W;AL
dangerous;55;W;NC
harmful;22;O;MN
dangerous;61;B;OH
dangerous;46;W;TX
harmless;30;W;UT
dangerous;56;W;TX
dangerous;35;W;TN
dangerous;22;W;FL
harmless;23;W;CT
dangerous;43;B;NC
dangerous;43;W;TN
dangerous;49;W;CO
unarmed;23;W;NE
neutral;41;W;CA
neutral;33;B;MD
dangerous;30;H;TX
dangerous;25;W;NH
dangerous;52;W;ID
dangerous;32;W;AR
dangerous;46;W;TX
dangerous;48;W;MN
unarmed;38;B;CA
neutral;26;W;AZ
neutral;32;B;PA
harmful;28;H;GA
dangerous;53;W;AZ
unarmed;38;W;TX
neutral;18;B;NJ
dangerous;32;B;SC
dangerous;37;W;MI
neutral;18;B;NJ
dangerous;20;B;OH
dangerous;28;W;WV
dangerous;18;B;CA
harmless;16;H;CA
harmless;36;B;IL
dangerous;57;W;MA
dangerous;49;W;NJ
harmless;31;H;FL
dangerous;26;W;AR
dangerous;51;W;MI
harmful;28;W;CO
dangerous;35;W;SC
unarmed;57;B;GA
harmful;36;W;IN
dangerous;42;W;AL
harmless;49;W;AR
harmful;62;W;IN
harmful;21;H;WA
harmful;53;W;CA
dangerous;41;B;NY
dangerous;40;W;AZ
neutral;27;H;CA
dangerous;19;N;TX
neutral;26;W;OH
harmful;44;A;WA
harmful;30;W;CA
dangerous;31;W;LA
dangerous;33;B;MA
dangerous;22;W;KY
harmful;46;W;OR
dangerous;38;W;WA
harmful;23;W;TX
dangerous;24;H;TX
dangerous;26;W;CA
harmless;26;W;TX
harmless;32;W;CA
harmful;50;H;FL
dangerous;17;W;AR
harmful;39;W;FL
dangerous;28;B;MI
harmful;66;B;NY
dangerous;42;H;OK
dangerous;34;W;KY
neutral;38;W;OH
neutral;28;H;NV
dangerous;29;W;FL
harmful;58;W;OK
dangerous;23;N;WA
harmless;21;W;AL
harmless;45;W;MN
dangerous;38;W;KY
dangerous;40;B;CO
dangerous;19;B;MO
harmless;46;B;AR
harmless;25;W;MD
harmless;25;W;MD
harmful;37;W;CA
dangerous;25;B;TX
unarmed;36;W;OK
dangerous;32;W;MT
dangerous;33;B;TX
neutral;24;H;GA
dangerous;37;W;MN
dangerous;38;B;CA
harmful;45;A;OH
harmful;31;B;MA
neutral;34;W;AZ
dangerous;23;H;TX
neutral;39;B;CA
harmful;55;H;CA
dangerous;31;W;OH
dangerous;76;W;NV
dangerous;59;W;LA
neutral;40;W;UT
dangerous;23;B;NC
neutral;26;H;CA
dangerous;35;H;NY
harmful;49;W;FL
neutral;36;W;OK
dangerous;56;W;WV
dangerous;34;W;TX
neutral;33;H;CA
dangerous;43;W;SC
neutral;43;W;KY
harmful;31;W;NJ
neutral;17;W;AL
harmful;32;W;WV
dangerous;31;B;PA
unarmed;19;W;KS
dangerous;23;H;CO
neutral;26;W;OH
dangerous;45;H;CA
dangerous;36;W;AZ
dangerous;41;H;TX
dangerous;53;W;FL
neutral;24;W;CO
dangerous;40;W;AK
dangerous;29;H;AZ
dangerous;22;H;CA
dangerous;21;H;OK
neutral;25;B;PA
dangerous;37;W;TX
harmful;37;H;CA
dangerous;56;W;CA
dangerous;35;W;FL
harmful;25;B;FL
dangerous;25;B;GA
dangerous;26;B;IL
neutral;29;H;CA
harmful;15;A;CA
harmful;21;B;NY
dangerous;24;H;TX
dangerous;18;W;MO
dangerous;19;B;MO
harmful;27;W;CA
dangerous;45;H;CA
dangerous;36;B;TX
neutral;34;B;NC
dangerous;23;B;NJ
harmful;43;W;FL
harmful;43;W;MI
neutral;19;B;IL
dangerous;37;B;IL
dangerous;23;B;MS
unarmed;26;H;AZ
neutral;20;H;AZ
neutral;50;W;KS
dangerous;59;W;ME
dangerous;33;B;IL
dangerous;48;B;LA
harmful;18;O;OH
dangerous;23;H;CA
neutral;41;B;NC
dangerous;41;W;MA
harmless;55;W;TX
harmful;29;W;IN
neutral;31;W;SC
dangerous;25;B;MO
dangerous;38;B;WA
dangerous;83;W;AR
harmful;22;W;KY
dangerous;33;W;AL
neutral;36;W;NM
neutral;26;A;OH
dangerous;29;B;IN
dangerous;55;W;KS
dangerous;47;W;FL
dangerous;52;W;OR
harmless;49;W;FL
harmful;31;B;NC
neutral;37;W;TX
dangerous;37;B;TX
neutral;36;W;IA
neutral;30;O;HI
dangerous;35;W;PA
dangerous;35;B;SC
harmful;36;W;IN
harmful;53;W;NE
neutral;39;W;WV
harmful;30;H;TX
harmless;44;W;AZ
dangerous;24;W;KS
unarmed;73;H;CA
dangerous;31;W;GA
dangerous;28;B;PA
dangerous;18;B;MD
dangerous;32;B;GA
dangerous;60;W;CA
harmful;48;W;TN
dangerous;33;H;CA
dangerous;44;N;WA
neutral;20;B;CA
dangerous;37;W;WA
dangerous;72;W;OK
neutral;52;W;NC
harmful;46;H;TX
dangerous;25;W;OK
neutral;38;H;NV
dangerous;27;W;AL
dangerous;24;B;CA
dangerous;19;B;MD
neutral;31;W;OR
dangerous;18;B;NC
harmful;53;W;FL
harmful;48;A;CA
harmful;29;B;DC
dangerous;30;W;OR
dangerous;61;W;FL
dangerous;71;W;TX
neutral;41;H;IL
dangerous;36;W;TX
dangerous;21;B;FL
unarmed;33;W;MN
harmful;46;W;FL
dangerous;32;W;PA
dangerous;42;W;OH
harmful;17;B;IL
dangerous;44;B;MO
dangerous;35;W;GA
dangerous;23;H;TX
neutral;21;B;TX
dangerous;53;W;TX
harmful;63;B;NY
dangerous;18;W;NY
dangerous;51;B;CA
dangerous;64;W;KY
neutral;45;W;IN
dangerous;20;H;CA
dangerous;41;W;TN
harmful;23;W;PA
dangerous;32;B;IL
harmful;25;W;WV
dangerous;42;W;OK
unarmed;41;W;MD
neutral;31;H;CO
dangerous;50;H;MO
unarmed;38;H;NM
harmful;44;W;GA
unarmed;38;B;AZ
dangerous;21;B;MO
harmful;32;W;CA
unarmed;23;B;TN
neutral;41;W;MN
dangerous;41;O;CA
dangerous;38;H;NJ
dangerous;54;W;FL
dangerous;20;N;MN
harmful;26;W;VA
neutral;29;O;HI
dangerous;47;W;TX
harmless;28;B;NY
dangerous;48;W;CA
harmful;37;A;CA
dangerous;34;B;IL
harmful;33;W;WA
dangerous;36;W;GA
harmful;43;W;KY
dangerous;32;A;VA
dangerous;29;W;TN
dangerous;39;H;CA
harmful;16;H;CA
harmful;40;W;OK
neutral;21;W;TX
harmful;50;W;CA
dangerous;19;B;IN
dangerous;28;N;ND
harmful;25;W;MO
dangerous;49;W;VA
dangerous;44;H;TX
dangerous;39;W;FL
dangerous;44;B;MS
harmful;50;W;NV
dangerous;57;W;ME
dangerous;57;B;PA
dangerous;33;H;CA
harmful;21;H;CA
dangerous;52;W;GA
unarmed;27;W;IL
dangerous;60;W;DE
harmful;25;B;LA
dangerous;34;H;CA
unarmed;22;W;MO
dangerous;26;B;LA
dangerous;27;H;CA
harmful;29;H;NM
unarmed;30;W;MI
dangerous;18;H;PA
dangerous;32;H;ID
neutral;37;W;AL
dangerous;54;B;MS
dangerous;50;W;WI
dangerous;28;H;NC
dangerous;59;W;MD
neutral;24;B;GA
harmful;34;W;OH
dangerous;25;H;CA
harmless;48;W;WI
dangerous;45;W;AZ
dangerous;25;H;TX
dangerous;17;B;WA
unarmed;18;H;CA
dangerous;50;B;OK
harmful;36;W;WA
dangerous;45;H;CA
neutral;42;W;CA
neutral;23;B;TX
neutral;31;B;CA
dangerous;18;H;TX
harmless;26;W;WI
dangerous;57;W;FL
dangerous;27;H;CA
dangerous;41;A;TX
dangerous;33;W;NC
dangerous;22;B;NC
dangerous;38;W;WV
neutral;26;H;IL
dangerous;45;W;TX
unarmed;23;H;GA
dangerous;68;B;MO
dangerous;56;W;FL
unarmed;45;B;CA
harmless;41;B;OH
neutral;33;H;CO
harmless;22;B;FL
dangerous;50;B;CO
harmful;52;H;CA
harmless;18;W;AL
harmless;35;W;TN
dangerous;18;B;MD
dangerous;34;W;OH
neutral;51;W;KY
dangerous;29;W;IN
harmful;34;N;OK
unarmed;25;B;IL
unarmed;26;W;OH
harmful;33;H;WA
harmless;17;B;OR
harmful;25;W;WA
dangerous;31;B;TN
neutral;25;W;ME
unarmed;18;W;ME
harmful;55;W;IL
dangerous;45;W;OK
dangerous;25;B;NC
dangerous;23;B;NJ
dangerous;37;W;SC
neutral;33;A;HI
dangerous;27;B;MO
harmless;32;W;KY
dangerous;31;B;NC
harmful;26;H;CA
neutral;32;W;TN
dangerous;53;W;AZ
unarmed;19;B;MI
harmful;53;W;OH
neutral;35;W;IN
dangerous;64;W;IN
dangerous;24;B;NC
harmful;33;W;MO
harmless;55;H;CA
dangerous;17;B;NY
dangerous;48;H;TX
dangerous;21;B;CA
unarmed;30;W;TX
harmful;34;W;OK
dangerous;35;B;AK
dangerous;32;W;CA
harmless;22;B;ME
dangerous;46;B;NC
harmful;27;B;OH
harmless;18;H;NY
dangerous;33;W;AR
dangerous;26;H;AZ
neutral;27;W;MO
harmful;26;W;FL
dangerous;51;W;OR
dangerous;63;B;MO
dangerous;38;H;UT
dangerous;25;H;UT
dangerous;39;H;CO
harmful;41;B;TX
harmful;26;W;WV
harmful;30;B;TX
dangerous;33;H;KS
dangerous;38;W;OH
dangerous;24;H;NV
dangerous;47;B;DC
dangerous;62;W;PA
dangerous;30;W;KY
dangerous;33;W;TX
harmless;23;B;CA
dangerous;39;W;GA
neutral;46;W;CA
dangerous;36;W;UT
dangerous;66;W;FL
dangerous;27;W;NC
dangerous;40;W;WI
dangerous;25;B;TX
dangerous;20;B;FL
harmful;40;B;TX
harmless;33;W;WI
harmful;34;H;CA
harmless;27;H;AZ
neutral;25;H;NV
harmful;37;H;NJ
dangerous;32;W;CO
harmless;25;N;CA
neutral;38;W;OK
dangerous;50;W;SC
harmless;70;H;CA
harmless;26;W;CA
harmful;41;B;CA
dangerous;91;W;PA
dangerous;25;W;NC
harmful;24;H;CA
harmful;29;W;CA
dangerous;40;W;CA
dangerous;51;W;TX
dangerous;30;B;LA
harmful;33;H;CA
harmful;28;H;WA
neutral;23;B;OH
harmful;23;W;CA
neutral;20;B;MD
unarmed;56;W;NJ
neutral;36;W;WA
harmless;18;W;CO
dangerous;43;W;FL
unarmed;16;H;CA
dangerous;29;B;MN
neutral;25;W;AZ
dangerous;34;B;MI
dangerous;32;B;WI
dangerous;32;B;NC
dangerous;58;W;FL
neutral;36;B;TN
harmful;25;W;ME
harmless;59;W;TN
harmful;25;B;CA
dangerous;25;W;KS
dangerous;42;W;ID
neutral;36;W;GA
dangerous;59;W;MO
unarmed;21;B;FL
dangerous;19;W;FL
dangerous;45;H;FL
harmful;42;W;KY
dangerous;27;B;LA
dangerous;45;A;WI
harmful;42;B;AR
harmful;24;H;AZ
harmful;39;B;MD
dangerous;18;W;CA
dangerous;26;H;TX
dangerous;35;H;CA
dangerous;53;W;CA
neutral;56;W;FL
dangerous;54;W;AR
dangerous;36;W;AK
dangerous;51;W;TN
dangerous;45;W;MS
harmful;28;W;MD
dangerous;36;W;IN
dangerous;73;W;MI
dangerous;26;W;TN
dangerous;41;W;IL
dangerous;59;W;OK
neutral;28;B;DE
dangerous;45;W;KY
neutral;27;W;TX
neutral;46;W;NJ
harmful;30;A;LA
neutral;46;H;SC
unarmed;47;H;CA
neutral;32;H;TX
dangerous;65;W;CA
dangerous;19;H;IN
neutral;22;W;AR
harmless;39;B;OH
dangerous;38;W;OH
dangerous;68;W;FL
dangerous;49;B;FL
dangerous;37;B;NJ
dangerous;33;A;SD
harmful;25;W;WI
harmful;36;H;CA
dangerous;30;W;OH
dangerous;28;B;CA
neutral;28;W;AZ
dangerous;25;W;KS
dangerous;35;W;WA
harmful;24;N;ND
dangerous;33;B;AR
harmful;56;W;CA
dangerous;56;W;OH
neutral;16;H;CA
dangerous;47;W;MN
neutral;33;W;TN
neutral;32;W;WV
dangerous;21;B;DE
dangerous;64;W;OK
dangerous;19;B;WA
harmful;55;H;TX
neutral;25;H;AZ
unarmed;17;W;AZ
dangerous;25;W;OR
dangerous;43;A;CA
neutral;39;B;IN
harmful;24;W;OH
dangerous;70;W;AZ
dangerous;79;W;PA
dangerous;16;B;TX
unarmed;35;W;OR
dangerous;53;H;TX
neutral;20;H;CA
harmful;27;B;GA
harmful;57;B;FL
neutral;53;W;PA
neutral;32;W;OH
dangerous;26;B;DE
dangerous;53;W;SD
dangerous;32;B;GA
dangerous;25;H;CA
unarmed;15;B;TX
dangerous;59;W;HI
dangerous;35;B;VA
dangerous;32;W;OK
dangerous;49;W;CA
dangerous;46;B;MI
dangerous;25;W;TX
harmful;48;B;TX
dangerous;20;H;TX
dangerous;24;W;CA
dangerous;18;B;MI
dangerous;67;W;GA
harmful;26;W;CA
harmless;15;W;CA
harmful;62;W;NV
dangerous;24;B;TX
neutral;27;B;AL
unarmed;26;H;NY
harmless;32;B;CA
dangerous;29;W;CA
neutral;16;H;CT
dangerous;25;B;FL
unarmed;39;W;SC
dangerous;34;W;OH
harmless;36;W;MI
harmful;24;B;OR
dangerous;50;B;MO
neutral;50;W;CA
harmful;51;B;PA
dangerous;30;W;MT
neutral;35;W;AL
dangerous;46;W;FL
dangerous;37;W;WI
dangerous;41;B;MO
dangerous;41;H;AZ
dangerous;48;W;VA
dangerous;27;B;AZ
dangerous;29;B;VA
dangerous;47;W;TN
dangerous;48;W;OK
dangerous;41;W;DC
dangerous;24;H;CA
dangerous;38;W;MT
neutral;28;W;VA
harmful;47;W;PA
dangerous;65;W;ME
harmless;58;W;CA
dangerous;33;B;WI
dangerous;43;W;PA
neutral;24;B;LA
unarmed;37;H;FL
dangerous;21;H;AZ
dangerous;65;W;NV
dangerous;59;W;CA
dangerous;74;W;TN
unarmed;24;W;OH
dangerous;23;W;AK
neutral;59;H;NM
harmless;34;W;AZ
neutral;30;W;TN
dangerous;22;B;NC
dangerous;37;W;ME
neutral;20;H;CA
dangerous;18;H;UT
neutral;24;W;CA
dangerous;17;W;CO
dangerous;27;H;NV
neutral;51;W;FL
dangerous;29;B;AL
neutral;34;B;MS
dangerous;18;A;OK
dangerous;17;B;IL
dangerous;55;H;TX
dangerous;44;W;AZ
dangerous;27;W;FL
dangerous;66;W;CA
dangerous;45;W;KY
dangerous;47;B;FL
dangerous;34;W;FL
dangerous;37;B;TX
dangerous;54;W;ME
dangerous;21;H;CA
dangerous;21;W;MO
dangerous;35;W;MD
neutral;75;W;NC
dangerous;45;H;CA
dangerous;30;B;PA
dangerous;48;W;CO
dangerous;58;W;OK
harmful;29;B;OK
dangerous;44;H;IL
dangerous;82;W;FL
dangerous;53;W;IA
harmful;60;W;TX
neutral;19;B;WI
harmful;45;H;CA
dangerous;63;H;TX
dangerous;50;W;KY
dangerous;35;W;LA
dangerous;24;W;IL
dangerous;36;W;NH
dangerous;35;B;LA
dangerous;33;B;MO
harmless;20;A;WA
dangerous;66;W;VA
harmful;54;W;TN
dangerous;40;W;NH
dangerous;41;W;MS
harmful;32;H;CA
dangerous;37;W;CA
harmful;30;B;WA
dangerous;64;W;WI
dangerous;21;N;AK
dangerous;28;W;TX
dangerous;40;W;TN
dangerous;32;W;OH
dangerous;50;W;KS
neutral;33;W;MO
unarmed;17;H;CA
neutral;34;H;AZ
dangerous;37;W;OR
dangerous;47;W;OK
neutral;20;B;WA
dangerous;56;B;SC
dangerous;24;B;OK
dangerous;47;W;AZ
harmless;37;B;TN
unarmed;45;B;IN
dangerous;33;H;CO
dangerous;23;H;AZ
dangerous;37;B;IL
harmful;36;B;OH
dangerous;34;B;NY
dangerous;29;W;IA
dangerous;45;W;OK
neutral;24;H;CA
dangerous;51;W;ME
unarmed;33;B;GA
dangerous;50;W;NC
dangerous;34;W;WI
neutral;47;B;KS
dangerous;55;W;AZ
unarmed;40;W;MN
dangerous;37;H;TX
dangerous;32;W;AL
dangerous;52;W;MO
dangerous;27;B;MO
harmless;49;W;MA
dangerous;59;W;WI
dangerous;41;H;MS
harmful;34;W;CA
dangerous;31;W;MO
harmful;23;W;VA
dangerous;28;W;FL
neutral;16;B;AR
neutral;25;B;OH
dangerous;39;B;LA
neutral;28;B;WI
harmful;32;B;NY